# boot millis=1598]j $Li deFSi)1328 4/ 1781792&Jyuep usee *6/)
C
# RSSI=-121 SNR=-10.75
2619,0.000000,0*000c 0-0+ 2,0, . 0,□.86, Mp8,0 4:0,c  00, (0□bz.0.□  0,0N  045f000□9&0□  ,0` 4 ,H 00 - .40	f 8.0 8.0□/ .00 &12 x 00Qи.0`f□
# RSSI=-120 SNR=-5.00
103955,0.000000,0.000000,0.00,0,44.47,29.53,1007.92,-1.3711,0.7891,1.3164,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.720,-113.800,-0.423,
# RSSI=-88 SNR=11.50
104545,0.000000,0.000000,0.00,0,43.97,29.56,1007.98,-0.7187,0.1133,1.9102,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.740,-97.300,-0.364,
# RSSI=-88 SNR=14.00
105116,0.000000,0.000000,0.00,0,41.46,29.58,1008.28,-0.5508,0.9844,1.2031,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.724,-100.800,-0.375,
# RSSI=-96 SNR=11.25
105705,0.000000,0.000000,0.00,0,41.96,29.60,1008.22,-0.9219,1.0586,0.5352,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.740,-105.600,-0.395,
# RSSI=-85 SNR=11.50
106284,0.000000,0.000000,0.00,0,45.64,29.61,1007.78,-0.7617,0.6289,0.8047,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.736,-101.800,-0.380,
# RSSI=-81 SNR=11.75
106880,0.000000,0.000000,0.00,0,48.15,29.62,1007.48,0.0000,0.0000,0.0000,-0.0273,0.0117,0.3066,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.732,-108.800,-0.406,
# RSSI=-82 SNR=11.50
107463,0.000000,0.000000,0.00,0,48.82,29.64,1007.40,0.0000,0.0000,0.0000,-0.1191,0.0879,-2.8359,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.740,-96.200,-0.360,
# RSSI=-85 SNR=12.25
108062,0.000000,0.000000,0.00,0,44.47,29.67,1007.92,0.0000,0.0000,0.0000,0.9551,0.2168,-0.3320,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.744,-109.100,-0.408,
# RSSI=-85 SNR=12.25
108640,0.000000,0.000000,0.00,0,42.30,29.71,1008.18,0.2227,2.5117,-1.2305,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.724,-91.300,-0.340,
# RSSI=-110 SNR=7.00
109246,0.000000,0.000000,0.00,0,43.13,29.75,1008.08,0.0000,0.0000,0.0000,-1.1230,-0.0645,2.0527,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.720,-99.200,-0.369,
# RSSI=-87 SNR=9.50
109830,0.000000,0.000000,0.00,0,41.80,29.79,1008.24,0.8633,1.2266,-0.1602,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.720,-96.500,-0.359,
# RSSI=-89 SNR=11.50
110438,0.000000,0.000000,0.00,0,43.13,29.84,1008.08,-1.3594,1.0898,-0.9805,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.712,-115.700,-0.429,
# RSSI=-91 SNR=11.75
111033,0.000000,0.000000,0.00,0,43.63,29.85,1008.02,-0.7461,2.2969,-0.1367,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.736,-112.500,-0.420,
# RSSI=-98 SNR=11.00
111709,0.000000,0.000000,0.00,0,44.14,29.88,1007.96,0.0000,0.0000,0.0000,-0.1113,0.2559,-1.5625,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.732,-110.700,-0.413,
# RSSI=-84 SNR=11.50
112295,0.000000,0.000000,0.00,0,42.97,29.91,1008.10,0.5859,-1.1094,0.4687,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.740,-110.000,-0.411,
# RSSI=-93 SNR=11.00
112885,0.000000,0.000000,0.00,0,43.30,29.93,1008.06,0.0000,0.0000,0.0000,0.0039,-0.1309,-0.3008,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.732,-116.600,-0.435,
# RSSI=-91 SNR=11.50
113474,0.000000,0.000000,0.00,0,42.97,29.96,1008.10,0.4766,0.3281,-0.6055,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.616,-110.900,-0.401,
# RSSI=-88 SNR=12.50
114071,0.000000,0.000000,0.00,0,43.47,29.99,1008.04,0.0000,0.0000,0.0000,0.4824,-0.0762,0.1406,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.732,-104.000,-0.388,
# RSSI=-92 SNR=12.50
114650,0.000000,0.000000,0.00,0,44.47,30.02,1007.92,-0.0977,0.0625,1.0547,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.760,-99.200,-0.373,
# RSSI=-89 SNR=12.00
115245,0.000000,0.000000,0.00,0,45.14,30.04,1007.84,0.0000,0.0000,0.0000,0.2617,0.0332,-0.5918,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.728,-109.100,-0.407,
# RSSI=-90 SNR=12.50
115823,0.000000,0.000000,0.00,0,46.14,30.07,1007.72,-0.0508,-0.3906,1.1250,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.744,-116.500,-0.436,
# RSSI=-88 SNR=12.25
116435,0.000000,0.000000,0.00,3,46.65,30.09,1007.66,-0.0547,1.2500,0.5547,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.720,-102.900,-0.383,
# RSSI=-89 SNR=11.25
117020,8.367926,100.043983,0.00,3,46.65,30.10,1007.66,0.3672,-0.3945,-0.1680,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.744,-101.300,-0.379,
# RSSI=-91 SNR=12.00
117637,8.367926,100.043983,17.60,4,43.97,30.14,1007.98,0.0000,0.0000,0.0000,-0.0020,-0.0215,0.5039,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.744,-116.500,-0.436,
# RSSI=-95 SNR=11.50
118236,8.367927,100.043991,18.60,4,43.97,30.16,1007.98,1.5469,0.1758,-0.3281,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.704,-113.100,-0.419,
# RSSI=-87 SNR=10.50
118963,8.367927,100.043991,18.60,4,45.64,30.18,1007.78,0.0000,0.0000,0.0000,0.0957,-0.1426,-0.1250,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,3.748,-103.900,-0.389,
# RSSI=-88 SNR=10.75
