time,lat,lon,alt_gps,sats,millis,alt_baro,temp,pressure,ax,ay,az,gx,gy,gz,qw,qx,qy,qz,high_ax,high_ay,high_az,voltage,current,watt,source,rssi,snr,time_s,accel_mag,alt_smooth,vz
2026-06-12 14:50:11,12.606686,100.940514,104.9,12,2302079,85.35,36.16,1003.04,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.812,-100.3,-0.382,port1,-90,10.0,29.0,0.277712567234542,88.176,-3.1580000000000013
2026-06-12 14:50:11,12.606686,100.940514,104.9,12,2302777,85.86,36.05,1002.98,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.812,-96.0,-0.366,port1,-89,11.25,29.0,0.277712567234542,86.296,-inf
2026-06-12 14:50:12,12.606686,100.940514,104.9,12,2303476,84.35,35.93,1003.16,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.824,-103.0,-0.394,port1,-87,12.0,30.0,0.277712567234542,83.912,-2.3840000000000003
2026-06-12 14:50:13,12.606686,100.940514,104.9,12,2304178,85.86,35.84,1002.98,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.824,-97.0,-0.371,port1,-86,11.0,31.0,0.277712567234542,81.12800000000001,-2.783999999999992
2026-06-12 14:50:13,12.606686,100.940514,104.9,12,2304878,78.14,35.77,1003.9,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.824,-103.0,-0.394,port1,-82,12.25,31.0,0.277712567234542,77.404,-inf
2026-06-12 14:50:14,12.606686,100.940514,104.9,12,2305581,71.43,35.68,1004.7,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.796,-97.2,-0.369,port1,-83,12.25,32.0,0.277712567234542,73.714,-3.6899999999999977
2026-06-12 14:50:15,12.606797,100.940536,88.9,12,2306286,67.24,35.57,1005.2,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.828,-100.8,-0.386,port1,-89,11.75,33.0,0.277712567234542,69.554,-4.159999999999997
2026-06-12 14:50:16,12.606797,100.940536,88.9,12,2306992,65.9,35.47,1005.36,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.824,-95.1,-0.364,port1,-85,11.5,34.0,0.277712567234542,66.602,-2.951999999999998
2026-06-12 14:50:16,12.606812,100.940529,88.9,12,2307689,65.06,35.38,1005.46,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.816,-99.9,-0.381,port1,-85,12.0,34.0,0.277712567234542,64.28999999999999,-inf
2026-06-12 14:50:17,12.606812,100.940529,88.9,12,2308458,63.38,35.29,1005.66,0.2305,-0.1289,0.0859,0.0098,0.0449,0.002,0.6993,0.0096,-0.0036,-0.7148,0.0,0.0,0.0,3.812,-95.4,-0.364,port1,-84,13.75,35.0,0.277712567234542,62.212,-2.0779999999999887
